Team, Winner,id,season,win_by_wickets,player_of_match
0,Mumbai Indians,92,15,92,92
1,Chennai Super Kings,79,15,79,79
2,Kolkata knight Riders,77,15,77,77
3,Royal Challengers banglore,73,15,73,73
4,Kings XI Punjab,70,15,70,70
